Listennummer;Bundesland
1;Bayern
2;Nordrhein-Westfalen
3;Rheinland-Pfalz
4;Sachsen-Anhalt
5;Rheinland-Pfalz
6;Niedersachsen
7;Nordrhein-Westfalen
8;Bayern
9;Hessen
10;Mecklenburg-Vorpommern
11;Rheinland-Pfalz
12;Bayern
13;Bayern
14;Hamburg
15;Nordrhein-Westfalen
16;Nordrhein-Westfalen
17;Bayern
18;Hessen
19;Bremen
20;Saarland
21;Saarland
22;Hessen
23;Saarland
24;Baden-W�rttemberg
25;Schleswig-Holstein
26;Hessen
27;Saarland
28;Baden-W�rttemberg
29;Brandenburg
30;Th�ringen
31;Nordrhein-Westfalen
32;Mecklenburg-Vorpommern
33;Baden-W�rttemberg
34;Schleswig-Holstein
35;Brandenburg
36;Baden-W�rttemberg
37;Saarland
38;Saarland
39;Bayern
40;Bremen
41;Hessen
42;Hessen
43;Berlin
44;Hamburg
45;Bayern
46;Bremen
47;Hessen
48;Brandenburg
49;Rheinland-Pfalz
50;Hamburg
51;Rheinland-Pfalz
52;Sachsen
53;Bayern
54;Bayern
55;Niedersachsen
56;Bremen
57;Hamburg
58;Saarland
59;Sachsen-Anhalt
60;Baden-W�rttemberg
61;Hamburg
62;Rheinland-Pfalz
63;Mecklenburg-Vorpommern
64;Hamburg
65;Baden-W�rttemberg
66;Bayern
67;Bayern
68;Baden-W�rttemberg
69;Berlin
70;Berlin
71;Hessen
72;Bremen
73;Rheinland-Pfalz
74;Nordrhein-Westfalen
75;Rheinland-Pfalz
76;Mecklenburg-Vorpommern
77;Bremen
78;Niedersachsen
79;Sachsen-Anhalt
80;Niedersachsen
81;Brandenburg
82;Sachsen
83;Sachsen
84;Baden-W�rttemberg
85;Saarland
86;Berlin
87;Niedersachsen
88;Baden-W�rttemberg
89;Bayern
90;Baden-W�rttemberg
91;Rheinland-Pfalz
92;Niedersachsen
93;Niedersachsen
94;Nordrhein-Westfalen
95;Mecklenburg-Vorpommern
96;Sachsen
97;Schleswig-Holstein
98;Hessen
99;Mecklenburg-Vorpommern
100;Nordrhein-Westfalen
101;Schleswig-Holstein
102;Baden-W�rttemberg
103;Niedersachsen
104;Sachsen
105;Bayern
106;Nordrhein-Westfalen
107;Niedersachsen
108;Berlin
109;Berlin
110;Hessen
111;Berlin
112;Niedersachsen
113;Hessen
114;Berlin
115;Berlin
116;Bremen
117;Berlin
118;Nordrhein-Westfalen
119;Niedersachsen
120;Hamburg
121;Th�ringen
122;Sachsen-Anhalt
123;Berlin
124;Nordrhein-Westfalen
125;Rheinland-Pfalz
126;Nordrhein-Westfalen
127;Saarland
128;Sachsen-Anhalt
129;Brandenburg
130;Brandenburg
131;Bremen
132;Baden-W�rttemberg
133;Sachsen
134;Sachsen-Anhalt
135;Berlin
136;Bremen
137;Nordrhein-Westfalen
138;Sachsen
139;Th�ringen
140;Bremen
141;Baden-W�rttemberg
142;Bayern
143;Brandenburg
144;Saarland
145;Rheinland-Pfalz
146;Bayern
147;Hamburg
148;Brandenburg
149;Baden-W�rttemberg
150;Th�ringen
151;Nordrhein-Westfalen
152;Hamburg
153;Th�ringen
154;Th�ringen
155;Bayern
156;Berlin
157;Sachsen-Anhalt
158;Schleswig-Holstein
159;Mecklenburg-Vorpommern
160;Nordrhein-Westfalen
161;Bayern
162;Bayern
163;Hamburg
164;Hessen
165;Nordrhein-Westfalen
166;Th�ringen
167;Baden-W�rttemberg
168;Rheinland-Pfalz
169;Baden-W�rttemberg
170;Sachsen-Anhalt
171;Sachsen
172;Schleswig-Holstein
173;Mecklenburg-Vorpommern
174;Brandenburg
175;Schleswig-Holstein
176;Berlin
177;Nordrhein-Westfalen
178;Schleswig-Holstein
179;Brandenburg
180;Nordrhein-Westfalen
181;Niedersachsen
182;Th�ringen
183;Th�ringen
184;Sachsen
185;Hamburg
186;Schleswig-Holstein
187;Schleswig-Holstein
188;Berlin
189;Sachsen-Anhalt
190;Bremen
191;Brandenburg
192;Rheinland-Pfalz
193;Bremen
194;Brandenburg
195;Bayern
196;Berlin
197;Th�ringen
198;Baden-W�rttemberg
199;Nordrhein-Westfalen
200;Mecklenburg-Vorpommern
