Landesliste;Kandidat
1;2381
1;1408
1;877
1;635
1;108
1;2684
1;2265
1;910
1;2875
1;2594
1;1225
1;1607
1;388
1;738
1;2685
1;1554
1;178
1;3149
1;546
1;1520
1;3227
1;3139
1;2996
1;2478
1;661
1;557
1;205
1;2212
1;2890
1;614
1;2261
1;999
1;3087
1;1021
1;720
1;1789
1;2971
1;3012
1;3050
1;2584
1;351
1;950
1;8
1;526
1;3272
1;2505
1;572
1;855
1;3407
1;2
1;3151
1;2208
1;383
1;2116
1;2877
2;1854
2;1315
2;1197
2;2638
2;3291
2;1281
2;445
2;2093
2;2466
2;225
2;3260
2;2143
2;2322
2;596
2;476
2;353
2;446
2;1820
2;424
2;2462
2;61
2;370
2;3101
2;698
2;1362
2;1207
2;1339
2;1570
2;2845
2;3
2;1151
2;3395
2;1508
2;627
3;50
3;69
3;3056
3;1838
3;2524
3;1112
3;1606
3;927
3;2308
3;4
4;2320
4;6
4;77
4;1072
4;665
4;540
5;339
5;3467
5;1214
5;837
5;1195
5;3443
5;660
5;2563
5;1944
5;230
5;1743
5;2539
5;3042
5;1352
5;779
5;137
5;719
5;1736
5;1793
5;2965
5;38
5;1375
5;3423
5;393
5;284
5;236
5;545
5;1064
5;369
5;619
5;7
6;2362
6;3209
6;3041
6;1245
6;1434
6;1445
6;431
6;1992
6;348
6;992
6;9
6;1999
6;767
6;798
6;1367
6;1527
7;432
7;993
7;697
7;316
7;3161
7;973
7;2998
7;1683
7;2365
7;2455
7;2464
7;367
7;3519
7;1995
7;11
7;555
7;732
8;3315
8;3176
8;1161
8;2071
8;354
8;1370
8;2072
8;2468
8;3054
8;335
8;2822
8;355
8;12
8;3044
8;1962
8;193
9;845
9;2973
9;1562
9;2252
9;562
9;2591
9;2604
9;2786
9;3016
9;194
9;1603
9;1738
9;379
9;2103
9;978
9;3354
9;152
9;359
9;671
9;1137
9;1496
9;2977
9;1966
9;2653
9;2450
9;3208
9;2014
9;2609
9;704
9;3471
9;1140
9;930
9;2387
9;1300
9;2060
9;1650
9;1423
9;14
9;2807
9;3335
9;688
10;15
10;2459
10;3249
10;103
10;2785
10;907
10;1611
11;3240
11;2115
11;16
11;3241
11;1845
11;2058
11;3165
12;3319
12;1222
12;3438
12;2902
12;2126
12;656
12;1724
12;2695
12;2979
12;2453
12;3343
12;2711
12;40
12;553
12;588
12;638
12;740
12;773
12;1047
12;1091
12;1230
12;1269
12;1750
12;1976
12;2004
12;1994
12;2038
12;2056
12;2222
12;2310
12;2373
12;2458
