id;parteiname;abkürzung
0;Keine;KEINE
1;Ab jetzt...Bündnis für Deutschland, für Demokratie durch Volksabstimmung;Volksabstimmung
2;Allianz der Mitte;ADM
3;Bayernpartei;BP
4;BÜNDNIS 90/DIE GRÜNEN;GRÜNE
5;Bürgerrechtsbewegung Solidarität;BüSo
6;Christlich Demokratische Union Deutschlands;CDU
7;CHRISTLICHE MITTE - Für ein Deutschland nach GOTTES Geboten;CM
8;Christlich-Soziale Union in Bayern e.V.;CSU
9;Demokratische Volkspartei Deutschland;DVD
10;Deutsche Kommunistische Partei;DKP
11;DEUTSCHE VOLKSUNION;DVU
12;Deutsche Zentrumspartei;ZENTRUM
13;DIE LINKE;DIE LINKE
14;DIE REPUBLIKANER;REP
15;Die Violetten;DIE VIOLETTEN
16;Familien-Partei Deutschlands;FAMILIE
17;Freie Demokratische Partei;FDP
18;Freie Union;Freie Union
19;Freie Wähler Deutschland;FWD
20;Marxistisch-Leninistische Partei Deutschlands;MLPD
21;Mensch Umwelt Tierschutz;Die Tierschutzpartei
22;Nationaldemokratische Partei Deutschlands;NPD
23;Ökologisch-Demokratische Partei;ödp
24;Partei Bibeltreuer Christen;PBC
25;Partei für Soziale Gleichheit, Sektion der Vierten Internationale;PSG
26;Piratenpartei Deutschland ;PIRATEN
27;Rentnerinnen und Rentner Partei;RRP
28;Rentner-Partei-Deutschland;RENTNER
29;Sozialdemokratische Partei Deutschlands;SPD
30;Sonstige;SONSTIGE
