Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
1;Endg�ltig;Vorperiode;Endg�ltig;Vorperiode;52139;74802;41793;66099;61793;74480;51068;61535;15292;5347;24187;16397;11918;6150;13481;8120;16399;7068;21967;13597;;;;;1302;1306;1240;1359;;;;;;;;2025;;;;;;;;;;;47;99;;;;;;;;;;;;;;;;;369;;;;;;;;;;;;;;;;;;159;;;;;;;;;;;;;;;;3385;;;;;;;;1821;;;;;;;;;
2;4117;2674;4181;2596;36642;56380;32239;51307;56751;67786;47947;59034;15184;5907;22605;14270;8208;4542;8836;5475;12840;5670;14927;8854;;;;;1231;1213;1126;1190;;;;;;;;1508;;;;;;;;;;;53;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;;;;;;;;;;;;;;;;2233;;;;;;;;1293;;;;;;433;;;
3;3382;2280;3218;2058;37277;56428;31282;49715;49779;61471;43480;53340;16037;6024;21970;14701;8896;4899;9808;6288;10665;4480;12899;8979;;;;;1603;1471;1512;1665;;;;;;2143;;2129;;;;;;;;;;;44;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142;;;;;;;;;;;;;;;;2549;;;;;;;;1604;;;;;;715;;;
4;3348;2098;3030;2108;47610;68480;39253;59001;58876;69082;49789;59743;14317;5607;23442;15507;8729;5106;9821;6522;14790;6164;18751;12613;;;;;1344;1454;1220;1457;;;;;;;;1835;;;;;;;;;;;55;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136;;;;;;;;;;;;;;;;2985;;;;;;;;1540;;;;;;948;761;;
5;3404;2187;3026;2062;54398;75473;42369;61777;42733;50437;36397;42945;12188;4509;19156;13190;11817;6103;13430;8899;18699;9196;24659;18995;;;;;1392;1313;1275;1377;;;;;;1759;;1657;;;;;;;;;;;80;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;;;;;;;;;;;;;4267;;;;;;;;1448;;;;;;814;;;
6;3442;2250;2263;2048;41683;63207;35557;53258;48136;57110;40110;48910;12515;4798;19772;12945;7871;;8936;6009;12187;5166;15701;10345;;;;;1363;1800;1315;1526;;;;;;2341;;1778;;;;;;;;;;;42;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;;;;;;;;;;;;;;;;2281;;;;;;;;1095;;;;;;924;;;
7;3292;2560;3031;2100;54950;78236;45540;68570;70458;80935;57203;67534;17018;6743;28640;18796;11794;6142;13412;8043;16143;9118;20978;16610;;;;;1912;1789;1743;1770;;;;;;;;1906;;;;;;;;;;;56;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;;;;;;3659;;;;;;;;1571;;;;;;529;;;
8;3384;2646;3193;2287;54065;79520;44445;68214;70290;81812;58225;68553;20084;7530;31407;21167;12527;5971;14280;8166;16633;7522;21245;16110;;;;;1797;1550;1687;1707;;;;;;2548;;2517;;;;;;;;;;;58;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;;;;;;;;;;;;;;;;3598;;;;;;;;1814;;;;;;1225;;;
9;3674;2179;3303;2107;43765;61947;36329;53947;49363;60608;42193;52564;14397;5402;22701;14442;8235;4363;9342;5794;10411;3798;13651;9353;;;;;1270;1201;1192;1350;;;;;;1716;;1608;;;;;;;;;;;43;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132;;;;;;;;;;;;;;;;2062;;;;;;;;1178;;;;;;433;;;
