Nr	Wahlberechtigte		Wähler	
	Erststimmen		Erststimmen	
	Endgültig	Vorperiode	Endgültig	Vorperiode
1	225216	220967	163329	171827
2	187047	184580	134671	143778
3	177604	177200	128320	139014
4	198910	197355	150018	158841
5	200347	194234	145483	151040
6	175132	174075	127971	136982
7	232899	227185	176188	185609
8	240010	233522	180295	188632
9	179987	177834	131917	140965
10	237144	232711	181568	190357
11	180424	179114	124624	132068
12	216789	219787	136923	156558
13	183166	185092	120292	134742
14	198527	193869	130659	139568
15	199517	203689	119369	141356
16	204944	208610	123824	145628
17	211429	215271	132878	154726
18	185926	192472	118231	138309
19	252967	245210	167220	179752
20	173956	170950	130630	136372
21	186357	181988	142023	147354
22	207016	203063	163012	168352
23	217147	214063	150049	163239
24	219191	215443	143119	159084
25	189804	187031	132885	144499
26	231076	227506	164653	177726
27	190546	190965	132735	146571
28	215591	210068	158347	166206
29	226440	224736	161584	175320
30	189058	189974	135824	148796
31	192956	188816	142114	150641
32	226979	222778	169078	179716
33	212449	206345	148935	160307
34	193411	192368	141838	152034
35	192320	190409	144883	152524
36	168573	168165	121941	132230
37	191159	185646	148918	154160
38	177098	175383	131466	138955
39	197143	194638	144630	154657
40	192473	191774	143711	153955
41	198376	199276	143398	157540
42	180088	179372	131369	140366
43	190623	188507	140587	147965
44	232214	231063	175757	187725
45	217316	217953	157137	172223
46	216957	216115	161017	174673
47	197394	201339	143185	158761
48	239450	238612	183314	195863
49	222804	223707	167520	182239
50	213208	217909	157578	173204
51	189975	187823	139948	147350
52	187831	188485	135261	148023
53	214330	219886	156221	173976
54	224468	226392	166515	180697
55	256131	252856	188189	196547
56	231847	233619	154838	170735
57	171705	176284	108017	126283
58	169284	174854	105814	124502
59	249983	240691	171514	184656
60	255165	248485	173707	189602
61	199083	203338	128273	147006
62	239221	227461	174226	180704
63	246651	241291	170204	184664
64	208525	212095	139228	159026
65	196389	203223	128179	149081
66	192709	200630	126140	149459
67	182677	188647	112980	135206
68	239481	246402	146265	174931
69	236946	245549	144340	174563
70	254287	253665	152948	179260
