id;name;bundesland;wahlberechtigte;;waehler;
0;Keiner;0;0;0;0;0
1;Flensburg - Schleswig;1;225216;220967;163329;171827
2;Nordfriesland - Dithmarschen Nord;1;187047;184580;134671;143778
3;Steinburg - Dithmarschen S�d;1;177604;177200;128320;139014
4;Rendsburg-Eckernf�rde;1;198910;197355;150018;158841
5;Kiel;1;200347;194234;145483;151040
6;Pl�n - Neum�nster;1;175132;174075;127971;136982
7;Pinneberg;1;232899;227185;176188;185609
8;Segeberg - Stormarn-Nord;1;240010;233522;180295;188632
9;Ostholstein;1;179987;177834;131917;140965
10;Herzogtum Lauenburg - Stormarn-S�d;1;237144;232711;181568;190357
11;L�beck;1;180424;179114;124624;132068
12;Wismar - Nordwestmecklenburg - Parchim;13;216789;219787;136923;156558
13;Schwerin - Ludwigslust;13;183166;185092;120292;134742
14;Rostock;13;198527;193869;130659;139568
15;Stralsund - Nordvorpommern - R�gen;13;199517;203689;119369;141356
16;Greifswald - Demmin - Ostvorpommern;13;204944;208610;123824;145628
17;Bad Doberan - G�strow - M�ritz;13;211429;215271;132878;154726
18;Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow;13;185926;192472;118231;138309
19;Hamburg-Mitte;2;252967;245210;167220;179752
20;Hamburg-Altona;2;173956;170950;130630;136372
21;Hamburg-Eimsb�ttel;2;186357;181988;142023;147354
22;Hamburg-Nord;2;207016;203063;163012;168352
23;Hamburg-Wandsbek;2;217147;214063;150049;163239
24;Hamburg-Bergedorf - Harburg;2;219191;215443;143119;159084
25;Aurich - Emden;3;189804;187031;132885;144499
26;Unterems;3;231076;227506;164653;177726
27;Friesland - Wilhelmshaven;3;190546;190965;132735;146571
28;Oldenburg - Ammerland;3;215591;210068;158347;166206
29;Delmenhorst - Wesermarsch - Oldenburg-Land;3;226440;224736;161584;175320
30;Cuxhaven - Stade II;3;189058;189974;135824;148796
31;Stade I - Rotenburg II;3;192956;188816;142114;150641
32;Mittelems;3;226979;222778;169078;179716
33;Cloppenburg - Vechta;3;212449;206345;148935;160307
34;Diepholz - Nienburg I;3;193411;192368;141838;152034
35;Osterholz - Verden;3;192320;190409;144883;152524
36;Rotenburg I - Soltau-Fallingbostel;3;168573;168165;121941;132230
37;Harburg;3;191159;185646;148918;154160
38;L�chow-Dannenberg - L�neburg;3;177098;175383;131466;138955
39;Osnabr�ck-Land;3;197143;194638;144630;154657
40;Stadt Osnabr�ck;3;192473;191774;143711;153955
41;Nienburg II - Schaumburg;3;198376;199276;143398;157540
42;Stadt Hannover I;3;180088;179372;131369;140366
43;Stadt Hannover II;3;190623;188507;140587;147965
44;Hannover-Land I;3;232214;231063;175757;187725
45;Celle - Uelzen;3;217316;217953;157137;172223
46;Gifhorn - Peine;3;216957;216115;161017;174673
47;Hameln-Pyrmont - Holzminden;3;197394;201339;143185;158761
48;Hannover-Land II;3;239450;238612;183314;195863
49;Hildesheim;3;222804;223707;167520;182239
50;Salzgitter - Wolfenb�ttel;3;213208;217909;157578;173204
51;Braunschweig;3;189975;187823;139948;147350
52;Helmstedt - Wolfsburg;3;187831;188485;135261;148023
